symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
BTC,1,Bitcoin,"$45,184,918,251",$2740.98,"16,484,950","$1,042,480,000",0.21%,0.70%,6.99%
ETH,2,Ethereum,"$20,734,319,386",$221.18,"93,746,216","$559,102,000",0.06%,-2.32%,8.27%
Cash,359,Footy,FOOT,"$600,956",$0.147110,"4,085,082","$13,743",-0.13%,24.13%
XRP,4,Ripple,"$6,610,311,488",$0.172444,"38,333,090,674",*,"$44,546,700",0.04%,-2.76%
LTC,5,Litecoin,"$2,212,267,009",$42.31,"52,290,432","$97,064,500",0.07%,-1.29%,0.23%
XEM,6,NEM,"$2,101,302,000",$0.233478,"8,999,999,999",*,"$16,720,400",-0.22%,16.91%
Classic,885,Neptune,NTCC,?,$0.000516,?,Low,Vol,-0.19%
DASH,8,Dash,"$1,357,963,135",$181.93,"7,464,412","$16,520,900",-0.33%,-1.94%,-7.52%
MIOTA,9,IOTA,"$814,257,837",$0.292948,"2,779,530,283",*,"$3,684,510",2.22%,1.58%
XMR,10,Monero,"$643,704,512",$43.26,"14,878,525","$7,803,340",-0.60%,-2.10%,-5.30%
STRAT,11,Stratis,"$550,259,905",$5.59,"98,488,099",*,"$8,559,240",-0.66%,-3.30%
EOS,12,EOS,"$453,466,533",$1.75,"259,362,346",*,"$28,772,900",-0.45%,-1.77%
BCC,13,BitConnect,"$418,094,288",$65.82,"6,352,038","$3,997,120",0.09%,13.07%,3.57%
ANS,14,NEO,"$410,465,000",$8.21,"50,000,000",*,"$17,650,100",0.74%,3.33%
QTUM,15,Qtum,"$376,060,690",$6.37,"59,000,000",*,"$11,066,700",-0.28%,-0.49%
BTS,16,BitShares,"$354,677,968",$0.136548,"2,597,460,000",*,"$43,962,400",-0.42%,3.79%
WAVES,17,Waves,"$348,692,000",$3.49,"100,000,000",*,"$4,078,420",-0.61%,11.03%
ZEC,18,Zcash,"$343,914,170",$183.15,"1,877,794","$19,140,000",-0.67%,-4.69%,-2.97%
VERI,19,Veritaseum,"$339,428,373",$169.18,"2,006,279",*,"$1,236,380",-0.08%,-10.46%
