symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
Bitcoin,1,BTC,BTC,"$327,641,136,673",$19563.60,"16,747,487","$14,102,500,000",-0.19%,3.85%
Ethereum,2,ETH,ETH,"$69,160,723,992",$717.45,"96,397,836","$2,182,870,000",0.31%,3.74%
Bitcoin Cash,3,BCH,BCH,"$31,305,750,444",$1856.74,"16,860,600","$1,072,420,000",0.05%,3.53%
Ripple,4,XRP,XRP,"$28,573,993,239",$0.737600,"38,739,144,847",*,"$980,083,000",0.85%
Litecoin,5,LTC,LTC,"$17,530,979,448",$322.56,"54,349,683","$1,821,990,000",0.72%,7.86%
Cardano,6,ADA,ADA,"$13,940,959,901",$0.537699,"25,927,070,538",*,"$866,732,000",8.18%
IOTA,7,MIOTA,MIOTA,"$10,054,978,594",$3.62,"2,779,530,283",*,"$289,474,000",-1.88%
Dash,8,DASH,DASH,"$8,593,086,014",$1107.54,"7,758,714","$446,923,000",3.89%,22.18%
NEM,9,XEM,XEM,"$6,236,153,999",$0.692906,"8,999,999,999",*,"$89,553,800",2.01%
Monero,10,XMR,XMR,"$5,406,001,954",$349.19,"15,481,770","$274,975,000",0.19%,8.93%
Bitcoin Gold,11,BTG,BTG,"$5,006,730,104",$299.60,"16,711,661","$120,872,000",-0.52%,0.58%
Stellar,12,XLM,XLM,"$4,645,378,905",$0.260207,"17,852,628,504",*,"$451,835,000",0.61%
EOS,13,EOS,EOS,"$4,600,642,089",$8.44,"545,118,504",*,"$355,911,000",1.88%
NEO,14,NEO,NEO,"$3,974,704,500",$61.15,"65,000,000",*,"$270,271,000",4.14%
Ethereum Classic,15,ETC,ETC,"$3,417,936,475",$34.72,"98,438,051","$467,346,000",0.78%,-1.04%
TRON,16,TRX,TRX,"$2,412,005,315",$0.036686,"65,748,192,475",*,"$475,775,000",-1.21%
BitConnect,17,BCC,BCC,"$2,183,539,315",$455.72,"4,791,406","$22,677,700",2.06%,3.37%
Qtum,18,QTUM,QTUM,"$2,160,240,335",$29.30,"73,739,916",*,"$429,158,000",1.14%
Populous,19,PPT,PPT,"$1,851,396,675",$44.88,"41,252,246",*,"$4,410,210",-0.68%
OmiseGO,20,OMG,OMG,"$1,678,926,513",$16.45,"102,042,552",*,"$177,239,000",5.33%
Lisk,21,LSK,LSK,"$1,594,133,854",$13.74,"116,030,676",*,"$107,984,000",1.35%
Zcash,22,ZEC,ZEC,"$1,494,838,002",$523.54,"2,855,256","$224,543,000",-1.36%,11.83%
Waves,23,WAVES,WAVES,"$1,337,390,000",$13.37,"100,000,000",*,"$59,673,900",1.06%
Tether,24,USDT,USDT,"$1,131,091,545",$1.01,"1,119,017,348",*,"$1,782,480,000",0.21%
Stratis,25,STRAT,STRAT,"$1,096,821,649",$11.12,"98,664,320",*,"$47,288,700",0.98%
BitShares,26,BTS,BTS,"$1,086,585,671",$0.417085,"2,605,190,000",*,"$64,898,400",4.07%
Ardor,27,ARDR,ARDR,"$967,978,563",$0.968948,"998,999,495",*,"$12,993,300",-0.14%
Hshare,28,HSR,HSR,"$891,249,803",$21.03,"42,382,544","$59,641,100",-0.20%,-8.91%
Verge,29,XVG,XVG,"$860,527,426",$0.059378,"14,492,288,020","$721,153,000",0.19%,107.17%
Bytecoin,30,BCN,BCN,"$808,468,781",$0.004412,"183,253,534,612","$15,435,500",2.92%,37.28%
Nxt,31,NXT,NXT,"$805,742,404",$0.806549,"998,999,942",*,"$141,358,000",-2.41%
MonaCoin,32,MONA,MONA,"$775,130,331",$13.82,"56,075,000","$17,667,300",1.83%,-3.03%
Dogecoin,33,DOGE,DOGE,"$734,081,354",$0.006533,"112,370,628,005","$161,302,000",-1.72%,21.85%
Decred,34,DCR,DCR,"$591,882,762",$92.85,"6,374,537","$8,272,700",6.07%,20.33%
Binance Coin,35,BNB,BNB,"$577,850,655",$5.84,"99,014,000",*,"$99,657,200",-2.46%
Ark,36,ARK,ARK,"$575,001,206",$5.87,"97,981,284",*,"$26,766,300",1.33%
Siacoin,37,SC,SC,"$572,285,813",$0.018228,"31,396,146,174","$60,035,300",5.46%,62.11%
Status,38,SNT,SNT,"$561,281,343",$0.161730,"3,470,483,788",*,"$138,141,000",1.22%
Veritaseum,39,VERI,VERI,"$560,417,616",$275.17,"2,036,645",*,"$1,654,610",0.02%
Steem,40,STEEM,STEEM,"$555,910,853",$2.26,"246,332,493",*,"$5,945,540",-0.14%
SALT,41,SALT,SALT,"$514,439,845",$10.09,"50,968,954",*,"$21,366,700",0.29%
Komodo,42,KMD,KMD,"$481,300,806",$4.64,"103,760,376","$11,362,600",-0.03%,2.89%
Augur,43,REP,REP,"$474,943,700",$43.18,"11,000,000",*,"$11,587,400",2.49%
Einsteinium,44,EMC2,EMC2,"$464,792,871",$2.15,"216,153,575","$57,628,000",-2.28%,11.59%
PIVX,45,PIVX,PIVX,"$417,107,445",$7.56,"55,158,131",*,"$16,170,800",1.32%
DigiByte,46,DGB,DGB,"$408,039,954",$0.042668,"9,563,159,979","$154,653,000",2.07%,91.87%
Golem,47,GNT,GNT,"$389,467,451",$0.467530,"833,032,000",*,"$9,725,110",-0.83%
Byteball Bytes,48,GBYTE,GBYTE,"$380,408,082",$589.58,"645,222",*,"$17,178,200",9.30%
QASH,49,QASH,QASH,"$359,929,500",$1.03,"350,000,000",*,"$30,549,200",-2.63%
Vertcoin,50,VTC,VTC,"$358,301,838",$8.51,"42,081,075","$18,584,000",3.91%,7.09%
Factom,51,FCT,FCT,"$351,721,881",$40.22,"8,745,102",*,"$20,780,100",2.77%
Basic Attenti...,52,BAT,BAT,"$349,450,000",$0.349450,"1,000,000,000",*,"$20,940,000",12.76%
TenX,53,PAY,PAY,"$343,926,484",$3.29,"104,661,310",*,"$20,814,900",0.97%
DigixDAO,54,DGD,DGD,"$316,288,000",$158.14,"2,000,000",*,"$3,944,720",0.83%
Aeternity,55,AE,AE,"$306,112,004",$1.31,"233,020,472",*,"$2,810,080",-1.84%
Kyber Network,56,KNC,KNC,"$302,775,054",$2.26,"134,132,697",*,"$21,904,700",8.98%
Electroneum,57,ETN,ETN,"$301,939,906",$0.060418,"4,997,507,466","$8,289,290",0.47%,-2.08%
MaidSafeCoin,58,MAID,MAID,"$286,694,216",$0.633505,"452,552,412",*,"$4,242,140",3.46%
Iconomi,59,ICN,ICN,"$284,445,592",$2.85,"99,788,314",*,"$11,439,600",0.95%
VeChain,60,VEN,VEN,"$279,521,287",$1.01,"277,162,633",*,"$23,474,800",-3.68%
Bytom,61,BTM,BTM,"$278,487,972",$0.282156,"987,000,000",*,"$6,315,170",-0.88%
Santiment Net...,62,SAN,SAN,"$272,189,319",$4.50,"60,522,560",*,"$8,659,220",0.68%
Walton,63,WTC,WTC,"$270,750,257",$10.87,"24,898,178",*,"$25,011,600",2.60%
RaiBlocks,64,XRB,XRB,"$266,692,455",$2.00,"133,248,290",*,"$5,485,710",-1.70%
Power Ledger,65,POWR,POWR,"$264,053,646",$0.749881,"352,127,399",*,"$46,519,300",3.86%
Syscoin,66,SYS,SYS,"$262,690,437",$0.496010,"529,607,139","$7,149,510",3.10%,12.02%
Cryptonex,67,CNX,CNX,"$254,815,272",$5.66,"45,013,765","$254,939",-0.01%,9.84%
Decentraland,68,MANA,MANA,"$248,469,196",$0.109277,"2,273,755,650",*,"$37,202,100",3.98%
Gas,69,GAS,GAS,"$236,048,801",$27.46,"8,597,035",*,"$4,209,670",1.65%
0x,70,ZRX,ZRX,"$233,287,500",$0.466575,"500,000,000",*,"$13,415,500",2.21%
ZCoin,71,XZC,XZC,"$230,611,787",$62.74,"3,675,709","$11,560,400",1.24%,7.28%
BitcoinDark,72,BTCD,BTCD,"$229,788,661",$178.29,"1,288,862","$126,368",-0.84%,3.71%
Raiden Networ...,73,RDN,RDN,"$222,451,653",$4.44,"50,148,936",*,"$16,922,100",-0.07%
Nexus,74,NXS,NXS,"$203,054,995",$3.73,"54,440,818","$2,560,430",0.18%,0.71%
GXShares,75,GXS,GXS,"$202,740,802",$5.00,"40,510,000",*,"$20,125,100",-0.47%
Gnosis,76,GNO,GNO,"$201,968,759",$182.84,"1,104,590",*,"$5,576,160",-0.40%
FunFair,77,FUN,FUN,"$201,205,167",$0.047344,"4,249,873,622",*,"$11,996,200",0.14%
