symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
BTC,1,Bitcoin,"$44,922,995,696",$2724.92,"16,485,987","$820,358,000",-0.07%,0.22%,4.87%
ETH,2,Ethereum,"$21,073,569,006",$224.77,"93,757,398","$556,935,000",-0.25%,0.89%,10.55%
XRP,3,Ripple,"$6,703,538,845",$0.174827,"38,343,841,883",*,"$30,675,800",-0.24%,0.03%
Cash,367,Footy,FOOT,"$491,029",$0.120187,"4,085,542","$6,046",-0.24%,-17.68%
LTC,5,Litecoin,"$2,247,101,796",$42.97,"52,298,682","$94,218,100",0.04%,0.99%,2.55%
XEM,6,NEM,"$2,019,006,000",$0.224334,"8,999,999,999",*,"$13,727,400",-0.11%,4.53%
Classic,918,Neptune,NTCC,?,$0.000524,?,Low,Vol,-0.14%
DASH,8,Dash,"$1,400,970,996",$187.66,"7,465,475","$23,951,500",-0.61%,2.35%,-3.31%
MIOTA,9,IOTA,"$918,270,640",$0.330369,"2,779,530,283",*,"$7,445,360",-0.69%,17.52%
XMR,10,Monero,"$652,393,202",$43.84,"14,881,130","$7,557,040",0.10%,-0.53%,-1.79%
STRAT,11,Stratis,"$564,946,383",$5.74,"98,488,774",*,"$8,037,440",-0.92%,2.50%
ANS,12,NEO,"$477,361,500",$9.55,"50,000,000",*,"$31,343,800",2.77%,17.07%
EOS,13,EOS,"$466,278,295",$1.80,"259,587,188",*,"$24,735,700",-0.32%,0.04%
QTUM,14,Qtum,"$446,798,150",$7.57,"59,000,000",*,"$27,830,800",0.03%,16.98%
BCC,15,BitConnect,"$430,818,372",$67.79,"6,355,603","$4,251,350",0.52%,3.87%,6.24%
WAVES,16,Waves,"$380,849,000",$3.81,"100,000,000",*,"$4,611,110",-3.63%,9.21%
BTS,17,BitShares,"$360,205,363",$0.138676,"2,597,460,000",*,"$27,658,100",0.17%,-0.95%
ZEC,18,Zcash,"$350,115,127",$186.07,"1,881,631","$17,318,800",-0.21%,-3.52%,-0.38%
VERI,19,Veritaseum,"$327,878,222",$163.43,"2,006,279",*,"$1,132,930",-1.99%,-14.05%
USDT,20,Tether,"$309,887,406",$0.969910,"319,501,197",*,"$54,393,600",-0.04%,-3.02%
STEEM,21,Steem,"$300,878,285",$1.26,"238,591,570","$747,040",0.47%,-0.22%,-1.74%
ICN,546,iCoin,"$169,431",$0.005875,"28,838,763",Low,Vol,-0.18%,1.77%
SC,23,Siacoin,"$253,874,645",$0.008974,"28,289,579,295","$5,076,760",-0.28%,2.04%,6.14%
GNT,24,Golem,"$247,870,338",$0.297552,"833,032,000",*,"$3,568,630",5.67%,16.93%
GBYTE,25,Byteball,"$231,147,883",$631.72,"365,903",*,"$3,018,430",2.13%,17.34%
LSK,26,Lisk,"$228,190,432",$2.07,"110,443,405",*,"$3,608,600",-0.82%,-2.51%
GNO,27,Gnosis,"$220,160,251",$199.31,"1,104,590",*,"$695,844",-0.22%,-1.15%
BCN,28,Bytecoin,"$217,536,459",$0.001187,"183,202,481,569","$1,056,070",-1.48%,-6.69%,-7.39%
