symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
Bitcoin,1,BTC,BTC,"$330,464,111,075",$19733.00,"16,746,775","$14,508,800,000",-0.05%,9.73%
Ethereum,2,ETH,ETH,"$69,855,460,187",$724.71,"96,391,580","$2,312,670,000",0.61%,4.12%
Bitcoin Cash,3,BCH,BCH,"$31,111,481,205",$1845.30,"16,859,850","$926,305,000",1.15%,1.91%
Ripple,4,XRP,XRP,"$29,144,814,538",$0.752335,"38,739,144,847",*,"$1,182,580,000",0.01%
Litecoin,5,LTC,LTC,"$17,490,479,998",$321.84,"54,344,758","$1,902,660,000",-1.80%,7.03%
Cardano,6,ADA,ADA,"$14,581,928,939",$0.562421,"25,927,070,538",*,"$916,433,000",5.80%
IOTA,7,MIOTA,MIOTA,"$9,802,625,040",$3.53,"2,779,530,283",*,"$293,139,000",0.81%
Dash,8,DASH,DASH,"$8,582,474,834",$1106.26,"7,758,099","$416,162,000",1.80%,20.84%
NEM,9,XEM,XEM,"$6,637,544,999",$0.737505,"8,999,999,999",*,"$115,270,000",3.85%
Monero,10,XMR,XMR,"$5,506,509,607",$355.68,"15,481,770","$255,452,000",2.52%,10.45%
Stellar,11,XLM,XLM,"$5,307,155,018",$0.297276,"17,852,618,504",*,"$438,569,000",1.11%
Bitcoin Gold,12,BTG,BTG,"$5,004,019,225",$299.45,"16,710,924","$112,272,000",-0.08%,-1.62%
EOS,13,EOS,EOS,"$4,577,357,538",$8.40,"544,989,694",*,"$411,182,000",-0.27%
NEO,14,NEO,NEO,"$3,602,248,000",$55.42,"65,000,000",*,"$216,816,000",0.13%
Ethereum Classic,15,ETC,ETC,"$3,455,790,316",$35.11,"98,430,326","$642,342,000",0.14%,-2.58%
TRON,16,TRX,TRX,"$2,429,665,280",$0.036954,"65,748,192,475",*,"$583,206,000",-2.69%
BitConnect,17,BCC,BCC,"$2,208,853,319",$461.03,"4,791,169","$25,188,300",-0.23%,9.41%
Qtum,18,QTUM,QTUM,"$2,147,830,242",$29.13,"73,739,168",*,"$489,003,000",0.73%
Populous,19,PPT,PPT,"$1,988,935,789",$48.21,"41,252,246",*,"$4,943,050",-0.37%
OmiseGO,20,OMG,OMG,"$1,450,402,218",$14.21,"102,042,552",*,"$161,226,000",0.37%
Zcash,21,ZEC,ZEC,"$1,396,424,557",$489.51,"2,852,681","$163,668,000",-0.33%,2.61%
Lisk,22,LSK,LSK,"$1,377,675,880",$11.87,"116,019,696",*,"$54,970,500",5.84%
Waves,23,WAVES,WAVES,"$1,349,250,000",$13.49,"100,000,000",*,"$67,752,100",0.11%
Tether,24,USDT,USDT,"$1,127,891,155",$1.01,"1,119,017,348",*,"$1,699,720,000",-0.04%
Stratis,25,STRAT,STRAT,"$1,104,276,004",$11.19,"98,663,903",*,"$45,705,600",1.33%
BitShares,26,BTS,BTS,"$1,063,543,544",$0.408245,"2,605,160,000",*,"$85,971,000",-3.42%
Hshare,27,HSR,HSR,"$980,706,465",$23.14,"42,381,254","$66,461,700",-0.35%,9.83%
Ardor,28,ARDR,ARDR,"$971,193,343",$0.972166,"998,999,495",*,"$13,818,800",-0.08%
Verge,29,XVG,XVG,"$865,623,885",$0.060142,"14,392,929,527","$631,771,000",15.48%,143.48%
Bytecoin,30,BCN,BCN,"$772,569,414",$0.004216,"183,253,534,612","$13,300,200",1.46%,45.24%
MonaCoin,31,MONA,MONA,"$759,445,988",$13.55,"56,067,950","$18,450,900",0.31%,-6.46%
Dogecoin,32,DOGE,DOGE,"$754,894,642",$0.006718,"112,370,628,005","$164,000,000",2.50%,69.51%
Nxt,33,NXT,NXT,"$721,592,643",$0.722315,"998,999,942",*,"$78,729,600",0.51%
Status,34,SNT,SNT,"$651,298,752",$0.187668,"3,470,483,788",*,"$152,514,000",-2.45%
Binance Coin,35,BNB,BNB,"$577,722,927",$5.83,"99,014,000",*,"$77,844,300",5.26%
Decred,36,DCR,DCR,"$570,858,280",$89.58,"6,372,708","$7,945,090",1.09%,21.20%
Ark,37,ARK,ARK,"$557,176,450",$5.69,"97,981,284",*,"$24,869,500",-2.69%
Steem,38,STEEM,STEEM,"$556,964,894",$2.26,"246,330,198",*,"$5,223,850",1.83%
Siacoin,39,SC,SC,"$544,936,630",$0.017357,"31,396,146,174","$36,534,800",8.95%,57.80%
Veritaseum,40,VERI,VERI,"$539,869,900",$265.08,"2,036,645",*,"$1,749,370",-1.57%
SALT,41,SALT,SALT,"$533,754,608",$10.46,"51,010,121",*,"$23,495,500",0.02%
Komodo,42,KMD,KMD,"$481,570,687",$4.64,"103,759,057","$12,719,600",-0.87%,0.98%
Augur,43,REP,REP,"$480,176,400",$43.65,"11,000,000",*,"$17,091,300",0.87%
Einsteinium,44,EMC2,EMC2,"$430,576,657",$1.99,"216,151,855","$37,962,200",0.36%,1.16%
PIVX,45,PIVX,PIVX,"$409,856,455",$7.43,"55,135,068",*,"$15,571,600",3.20%
Golem,46,GNT,GNT,"$372,680,190",$0.447378,"833,032,000",*,"$6,919,190",-1.18%
QASH,47,QASH,QASH,"$355,530,000",$1.02,"350,000,000",*,"$40,984,600",2.53%
TenX,48,PAY,PAY,"$350,508,634",$3.35,"104,661,310",*,"$22,229,200",3.10%
Byteball Bytes,49,GBYTE,GBYTE,"$344,565,352",$534.03,"645,222",*,"$33,500,700",-0.33%
Vertcoin,50,VTC,VTC,"$343,313,346",$8.16,"42,076,375","$17,289,600",0.51%,1.22%
DigiByte,51,DGB,DGB,"$336,189,899",$0.035160,"9,561,633,397","$89,098,400",-3.52%,58.68%
DigixDAO,52,DGD,DGD,"$314,366,000",$157.18,"2,000,000",*,"$4,200,790",0.65%
Kyber Network,53,KNC,KNC,"$314,234,010",$2.34,"134,132,697",*,"$22,102,300",1.15%
Electroneum,54,ETN,ETN,"$305,509,625",$0.061132,"4,997,507,466","$10,089,700",-1.68%,-11.30%
Aeternity,55,AE,AE,"$293,810,853",$1.26,"233,020,472",*,"$3,128,960",0.10%
Basic Attenti...,56,BAT,BAT,"$287,800,000",$0.287800,"1,000,000,000",*,"$15,581,000",1.40%
Factom,57,FCT,FCT,"$280,795,606",$32.11,"8,745,102",*,"$11,843,100",-1.32%
Santiment Net...,58,SAN,SAN,"$274,669,534",$4.54,"60,522,560",*,"$13,532,900",-1.25%
RaiBlocks,59,XRB,XRB,"$271,252,212",$2.04,"133,248,290",*,"$6,471,870",7.50%
MaidSafeCoin,60,MAID,MAID,"$263,712,247",$0.582722,"452,552,412",*,"$3,875,990",0.88%
Syscoin,61,SYS,SYS,"$260,600,253",$0.492070,"529,599,961","$7,377,440",0.92%,10.24%
Power Ledger,62,POWR,POWR,"$258,813,286",$0.734999,"352,127,399",*,"$41,385,900",3.89%
Cryptonex,63,CNX,CNX,"$255,586,449",$5.68,"45,013,306","$92,039",-0.14%,17.23%
Bytom,64,BTM,BTM,"$252,050,190",$0.255370,"987,000,000",*,"$3,892,250",0.19%
VeChain,65,VEN,VEN,"$249,452,191",$0.900021,"277,162,633",*,"$20,420,600",0.13%
Iconomi,66,ICN,ICN,"$241,417,869",$2.42,"99,788,314",*,"$8,206,630",3.37%
Walton,67,WTC,WTC,"$240,429,505",$9.66,"24,898,178",*,"$18,761,400",0.34%
BitcoinDark,68,BTCD,BTCD,"$237,679,075",$184.41,"1,288,862","$202,247",1.74%,7.27%
0x,69,ZRX,ZRX,"$236,510,000",$0.473020,"500,000,000",*,"$13,185,300",4.03%
Decentraland,70,MANA,MANA,"$235,454,219",$0.103553,"2,273,755,650",*,"$42,013,600",0.08%
ZCoin,71,XZC,XZC,"$222,061,194",$60.45,"3,673,256","$11,075,100",0.95%,4.16%
Gas,72,GAS,GAS,"$219,890,673",$25.58,"8,597,035",*,"$3,982,990",2.33%
Raiden Networ...,73,RDN,RDN,"$213,389,239",$4.26,"50,148,936",*,"$17,689,600",0.36%
GXShares,74,GXS,GXS,"$207,209,055",$5.12,"40,510,000",*,"$26,699,100",-0.13%
PayPie,75,PPP,PPP,"$205,647,750",$2.49,"82,500,000",*,"$1,826,730",0.48%
Streamr DATAcoin,76,DATA,DATA,"$204,942,168",$0.302652,"677,154,514",*,"$20,912,800",4.36%
Nexus,77,NXS,NXS,"$203,925,242",$3.75,"54,434,208","$3,376,830",0.72%,-3.37%
FunFair,78,FUN,FUN,"$201,368,362",$0.047382,"4,249,873,622",*,"$10,836,500",-0.03%
Gnosis,79,GNO,GNO,"$200,188,159",$181.23,"1,104,590",*,"$8,633,480",1.50%
Request Network,80,REQ,REQ,"$181,246,048",$0.282870,"640,739,733",*,"$19,334,100",-0.49%
Monaco,81,MCO,MCO,"$173,429,655",$15.15,"11,443,876",*,"$38,329,000",-0.09%
GameCredits,82,GAME,GAME,"$170,233,421",$2.65,"64,355,352","$3,388,560",-0.98%,2.71%
Bancor,83,BNT,BNT,"$165,023,709",$4.05,"40,772,871",*,"$5,370,500",0.06%
Dragonchain,84,DRGN,DRGN,"$164,523,060",$0.690050,"238,421,940",*,"$1,937,530",-1.60%
Civic,85,CVC,CVC,"$154,084,431",$0.449619,"342,700,000",*,"$10,630,300",3.55%
NAV Coin,86,NAV,NAV,"$153,015,096",$2.46,"62,178,510",*,"$6,121,940",-2.52%
Substratum,87,SUB,SUB,"$149,747,828",$0.662333,"226,091,449",*,"$12,520,500",1.58%
Metal,88,MTL,MTL,"$147,359,229",$7.63,"19,300,994",*,"$28,763,900",-0.83%
Dent,89,DENT,DENT,"$145,276,803",$0.013686,"10,614,760,961",*,"$17,935,200",3.66%
ChainLink,90,LINK,LINK,"$143,161,200",$0.409032,"350,000,000",*,"$19,313,500",0.00%
Peercoin,91,PPC,PPC,"$139,791,229",$5.70,"24,516,648","$10,247,000",-0.50%,28.69%
BitBay,92,BAY,BAY,"$137,930,228",$0.136792,"1,008,320,866",*,"$15,092,200",4.22%
Metaverse ETP,93,ETP,ETP,"$137,281,135",$3.74,"36,671,181","$9,758,660",0.40%,3.81%
Edgeless,94,EDG,EDG,"$135,961,365",$1.66,"82,046,288",*,"$10,085,000",-2.89%
Revain,95,R,R,"$131,639,567",$0.713687,"184,450,000",*,"$955,820",0.94%
Blocknet,96,BLOCK,BLOCK,"$127,466,224",$25.85,"4,930,556",*,"$318,868",-0.68%
Storj,97,STORJ,STORJ,"$125,616,216",$1.19,"105,413,683",*,"$14,514,900",-0.32%
RChain,98,RHOC,RHOC,"$119,927,434",$0.655473,"182,963,195",*,"$191,173",-0.58%
Pura,99,PURA,PURA,"$119,570,739",$0.694807,"172,092,018","$376,469",-0.09%,-8.58%
Skycoin,100,SKY,SKY,"$118,277,968",$18.69,"6,330,001",*,"$491,517",12.05%
Quantstamp,101,QSP,QSP,"$118,276,161",$0.191598,"617,314,171",*,"$53,298,700",4.29%
Ripio Credit ...,102,RCN,RCN,"$114,595,220",$0.234673,"488,318,724",*,"$43,976,800",2.38%
Aion,103,AION,AION,"$107,640,215",$2.03,"52,970,983",*,"$1,307,820",-0.62%
Ink,104,INK,INK,"$106,710,967",$0.598659,"178,250,000",*,"$195,610,000",3.95%
Ethos,105,ETHOS,ETHOS,"$106,047,839",$1.41,"75,201,633",*,"$5,663,280",-0.99%
Achain,106,ACT,ACT,"$103,359,000",$0.344530,"300,000,000",*,"$2,404,250",1.09%
