symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
Bitcoin,1,BTC,BTC,"$327,197,328,268",$19537.10,"16,747,487","$14,104,700,000",-0.50%,3.77%
Ethereum,2,ETH,ETH,"$69,100,957,334",$716.83,"96,397,836","$2,186,940,000",0.17%,3.65%
Bitcoin Cash,3,BCH,BCH,"$31,308,785,352",$1856.92,"16,860,600","$1,073,430,000",0.03%,3.58%
Ripple,4,XRP,XRP,"$28,659,296,836",$0.739802,"38,739,144,847",*,"$984,649,000",1.30%
Litecoin,5,LTC,LTC,"$17,504,348,103",$322.07,"54,349,683","$1,825,230,000",0.55%,7.67%
Cardano,6,ADA,ADA,"$13,942,541,453",$0.537760,"25,927,070,538",*,"$866,415,000",8.12%
IOTA,7,MIOTA,MIOTA,"$10,075,130,189",$3.62,"2,779,530,283",*,"$289,659,000",-1.79%
Dash,8,DASH,DASH,"$8,613,491,432",$1110.17,"7,758,714","$445,034,000",4.08%,22.50%
NEM,9,XEM,XEM,"$6,204,320,999",$0.689369,"8,999,999,999",*,"$89,464,300",1.49%
Monero,10,XMR,XMR,"$5,404,407,332",$349.08,"15,481,770","$274,522,000",0.16%,8.90%
Bitcoin Gold,11,BTG,BTG,"$5,006,696,681",$299.59,"16,711,661","$120,782,000",-0.51%,0.59%
Stellar,12,XLM,XLM,"$4,674,014,521",$0.261811,"17,852,628,504",*,"$449,620,000",1.21%
EOS,13,EOS,EOS,"$4,594,754,809",$8.43,"545,118,504",*,"$356,276,000",1.74%
NEO,14,NEO,NEO,"$3,908,716,500",$60.13,"65,000,000",*,"$263,943,000",2.49%
Ethereum Classic,15,ETC,ETC,"$3,416,824,125",$34.71,"98,438,051","$468,792,000",0.75%,-1.07%
TRON,16,TRX,TRX,"$2,410,328,736",$0.036660,"65,748,192,475",*,"$479,882,000",-1.49%
Qtum,17,QTUM,QTUM,"$2,159,495,562",$29.29,"73,739,916",*,"$431,023,000",1.21%
BitConnect,18,BCC,BCC,"$2,155,107,114",$449.79,"4,791,406","$22,511,400",0.51%,2.05%
Populous,19,PPT,PPT,"$1,843,022,469",$44.68,"41,252,246",*,"$4,375,910",-1.27%
OmiseGO,20,OMG,OMG,"$1,700,498,308",$16.66,"102,042,552",*,"$178,744,000",7.58%
Lisk,21,LSK,LSK,"$1,598,867,906",$13.78,"116,030,676",*,"$107,904,000",1.59%
Zcash,22,ZEC,ZEC,"$1,497,953,086",$524.63,"2,855,256","$223,940,000",-1.72%,12.02%
Waves,23,WAVES,WAVES,"$1,334,610,000",$13.35,"100,000,000",*,"$59,741,100",0.68%
Tether,24,USDT,USDT,"$1,131,292,968",$1.01,"1,119,017,348",*,"$1,781,140,000",0.20%
Stratis,25,STRAT,STRAT,"$1,097,936,556",$11.13,"98,664,320",*,"$47,256,800",1.15%
BitShares,26,BTS,BTS,"$1,072,572,354",$0.411706,"2,605,190,000",*,"$64,696,800",2.73%
Ardor,27,ARDR,ARDR,"$970,515,022",$0.971487,"998,999,495",*,"$12,927,100",0.74%
Hshare,28,HSR,HSR,"$897,780,953",$21.18,"42,382,544","$61,024,400",0.54%,-7.92%
Verge,29,XVG,XVG,"$850,595,861",$0.058693,"14,492,288,020","$718,598,000",-0.96%,104.78%
Nxt,30,NXT,NXT,"$795,497,659",$0.796294,"998,999,942",*,"$141,442,000",-3.57%
Bytecoin,31,BCN,BCN,"$787,872,917",$0.004299,"183,253,534,612","$15,474,600",-0.10%,34.34%
MonaCoin,32,MONA,MONA,"$772,758,359",$13.78,"56,075,000","$17,643,800",1.52%,-3.32%
Dogecoin,33,DOGE,DOGE,"$742,049,555",$0.006604,"112,370,628,005","$161,684,000",-0.79%,23.18%
Decred,34,DCR,DCR,"$589,627,451",$92.50,"6,374,537","$8,214,440",5.67%,19.98%
Binance Coin,35,BNB,BNB,"$578,346,715",$5.84,"99,014,000",*,"$99,643,100",-2.47%
Siacoin,36,SC,SC,"$574,769,248",$0.018307,"31,396,146,174","$59,630,000",5.92%,62.83%
Ark,37,ARK,ARK,"$574,742,535",$5.87,"97,981,284",*,"$26,709,900",0.88%
Veritaseum,38,VERI,VERI,"$560,138,595",$275.03,"2,036,645",*,"$1,657,800",-0.06%
