symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
BTC,1,Bitcoin,"$44,839,780,591 ",$2719.86,"16,486,062","$821,574,000",-0.52%,-0.16%,4.49%
ETH,2,Ethereum,"$21,047,145,800 ",$224.48,"93,757,888","$556,679,000",-0.30%,0.58%,10.45%
BCH,3,Bitcoin Cash,"$6,996,156,644 ",$424.46,"16,482,488","$272,437,000",5.51%,0.64%,5.72%
XRP,4,Ripple,"$6,670,026,327 ",$0.173953,"38,343,841,883",*,"$30,788,100",-0.69%,-0.58%
LTC,5,Litecoin,"$2,242,816,912 ",$42.88,"52,299,132","$93,752,200",-0.18%,0.74%,2.33%
XEM,6,NEM,"$2,037,870,000 ",$0.226430,"8,999,999,999",*,"$13,714,500",2.10%,5.08%
ETC,7,Ethereum Classic,"$1,435,382,997 ",$15.24,"94,183,382","$69,455,200",-0.10%,2.72%,3.94%
DASH,8,Dash,"$1,396,595,502 ",$187.07,"7,465,511","$23,889,200",-0.51%,1.93%,-3.54%
MIOTA,9,IOTA,"$912,953,399 ",$0.328456,"2,779,530,283",*,"$7,635,540",-0.94%,16.56%
XMR,10,Monero,"$650,998,245 ",$43.75,"14,881,150","$7,569,890",-0.05%,-0.96%,-1.95%
STRAT,11,Stratis,"$564,365,517 ",$5.73,"98,488,812",*,"$8,190,080",-0.86%,2.63%
ANS,12,NEO,"$490,089,500 ",$9.80,"50,000,000",*,"$34,590,400",3.29%,19.83%
EOS,13,EOS,"$466,616,193 ",$1.80,"259,587,430",*,"$24,896,600",-0.18%,0.14%
QTUM,14,Qtum,"$444,616,330 ",$7.54,"59,000,000",*,"$27,709,800",0.15%,16.72%
BCC,15,BitConnect,"$430,521,756 ",$67.74,"6,355,794","$4,224,330",0.51%,2.08%,6.06%
WAVES,16,Waves,"$378,002,000 ",$3.78,"100,000,000",*,"$4,649,160",-3.74%,7.92%
BTS,17,BitShares,"$361,766,436 ",$0.139277,"2,597,460,000",*,"$27,292,300",0.45%,-0.97%
ZEC,18,Zcash,"$349,830,775 ",$185.91,"1,881,731","$17,334,900",-0.26%,-3.80%,-0.42%
VERI,19,Veritaseum,"$325,669,309 ",$162.32,"2,006,279",*,"$1,094,910",-2.52%,-15.50%
USDT,20,Tether,"$310,414,583 ",$0.971560,"319,501,197",*,"$54,132,900",-0.51%,-2.91%
STEEM,21,Steem,"$298,437,315 ",$1.25,"238,593,334","$774,907",-0.88%,-1.51%,-2.86%
ICN,548,iCoin,"$167,793 ",$0.005818,"28,839,038",Low Vol,-1.12%,1.57%,-61.09%
SC,23,Siacoin,"$254,148,095 ",$0.008984,"28,289,944,922","$4,895,380",-0.11%,1.95%,6.34%
GNT,24,Golem,"$244,863,925 ",$0.293943,"833,032,000",*,"$4,134,180",1.10%,15.57%
GBYTE,25,Byteball,"$230,967,858 ",$631.23,"365,903",*,"$2,975,630",0.82%,15.16%
LSK,26,Lisk,"$230,168,766 ",$2.08,"110,444,605",*,"$3,644,070",0.39%,-1.72%
GNO,27,Gnosis,"$220,562,322 ",$199.68,"1,104,590",*,"$647,516",0.43%,-0.55%
BCN,28,Bytecoin,"$219,890,697 ",$0.001200,"183,202,553,949","$1,071,630",0.53%,-5.45%,-6.37%
XLM,29,Stellar Lumens,"$202,087,841 ",$0.018637,"10,843,309,341",*,"$3,650,180",-0.25%,-0.98%
DOGE,30,Dogecoin,"$197,772,791 ",$0.001790,"110,492,530,765","$3,130,590",0.13%,-0.29%,-1.64%
REP,31,Augur,"$193,809,000 ",$17.62,"11,000,000",*,"$2,199,470",-0.58%,-2.84%
GAME,32,GameCredits,"$190,757,716 ",$2.99,"63,705,672","$1,404,330",-0.36%,31.86%,42.50%
SNT,33,Status,"$190,454,945 ",$0.054878,"3,470,483,788",*,"$14,614,500",-0.35%,0.19%
OMG,34,OmiseGo,"$187,467,266 ",$1.91,"98,312,024",*,"$16,124,600",0.03%,42.20%
FCT,35,Factom,"$168,471,455 ",$19.25,"8,753,219",*,"$1,548,330",0.02%,-2.39%
DGB,36,DigiByte,"$168,158,123 ",$0.019235,"8,742,253,657","$5,594,930",-0.55%,0.33%,15.50%
NXT,37,Nxt,"$166,709,121 ",$0.166876,"998,999,983",*,"$21,337,900",1.94%,-9.59%
DCR,38,Decred,"$157,387,754 ",$28.81,"5,462,103","$612,590",-0.62%,-1.95%,15.08%
MAID,39,MaidSafeCoin,"$152,414,674 ",$0.336789,"452,552,412",*,"$1,526,720",-0.57%,0.58%
ARDR,40,Ardor,"$144,629,153 ",$0.144774,"998,999,495",*,"$2,346,330",-0.60%,-6.40%
DGD,41,DigixDAO,"$141,396,000 ",$70.70,"2,000,000",*,"$278,754",0.98%,1.28%
PPT,42,Populous,"$135,725,590 ",$3.67,"37,004,027",*,"$388,338",0.28%,5.34%
BAT,907,BatCoin,? ,$0.000001,?,Low Vol,-0.45%,-23.63%,-24.81%
MCAP,44,MCAP,"$120,686,207 ",$2.16,"55,832,920",*,"$496,108",-0.95%,9.56%
PIVX,45,PIVX,"$107,004,480 ",$1.98,"53,979,418",*,"$550,303",-0.71%,1.91%
